episode: 8900/1000000, reward: 0.0, epsilon: 0.41, max reward: 10.0, mean past 100 rewards: 1.24
episode: 9000/1000000, reward: 1.0, epsilon: 0.41, max reward: 10.0, mean past 100 rewards: 0.96
episode: 9100/1000000, reward: 0.0, epsilon: 0.4, max reward: 10.0, mean past 100 rewards: 0.67
episode: 9200/1000000, reward: 0.0, epsilon: 0.4, max reward: 10.0, mean past 100 rewards: 0.59
episode: 9300/1000000, reward: 0.0, epsilon: 0.39, max reward: 10.0, mean past 100 rewards: 0.73
episode: 9400/1000000, reward: 0.0, epsilon: 0.39, max reward: 10.0, mean past 100 rewards: 0.74
episode: 9500/1000000, reward: 0.0, epsilon: 0.39, max reward: 10.0, mean past 100 rewards: 0.76
episode: 9600/1000000, reward: 0.0, epsilon: 0.38, max reward: 10.0, mean past 100 rewards: 0.4
episode: 9700/1000000, reward: 2.0, epsilon: 0.38, max reward: 10.0, mean past 100 rewards: 0.28
episode: 9800/1000000, reward: 0.0, epsilon: 0.38, max reward: 10.0, mean past 100 rewards: 0.78
episode: 9900/1000000, reward: 0.0, epsilon: 0.37, max reward: 10.0, mean past 100 rewards: 0.48
episode: 10000/1000000, reward: 0.0, epsilon: 0.37, max reward: 10.0, mean past 100 rewards: 1.28
episode: 10100/1000000, reward: 0.0, epsilon: 0.36, max reward: 10.0, mean past 100 rewards: 1.03
episode: 10200/1000000, reward: 0.0, epsilon: 0.36, max reward: 10.0, mean past 100 rewards: 0.99
episode: 10300/1000000, reward: 0.0, epsilon: 0.36, max reward: 10.0, mean past 100 rewards: 0.63
episode: 10400/1000000, reward: 0.0, epsilon: 0.35, max reward: 10.0, mean past 100 rewards: 1.01
episode: 10500/1000000, reward: 0.0, epsilon: 0.35, max reward: 10.0, mean past 100 rewards: 0.97
episode: 10600/1000000, reward: 0.0, epsilon: 0.35, max reward: 10.0, mean past 100 rewards: 0.79
